2Theta_deg,Intensity_cps
8.7934,171.57
8.80411,0.0
8.81483,171.56
8.82555,0.0
8.83626,171.44
8.84698,0.0
8.85769,171.38
8.86841,0.0
8.87913,171.42
8.88984,0.0
8.90056,171.53
8.91127,0.0
8.92199,171.58
8.9327,0.0
8.94342,171.44
8.95414,0.0
8.96485,171.22
8.97557,0.0
8.98628,171.32
8.997,0.0
9.00772,171.46
9.01843,0.0
9.02915,171.54
9.03986,0.0
9.05058,171.62
9.06129,0.0
9.07201,171.59
9.08273,0.0
9.09344,171.44
9.10416,0.0
9.11487,171.52
9.12559,0.0
9.13631,171.57
9.14702,0.0
9.15774,171.34
9.16845,0.0
9.17917,171.42
9.18988,0.0
9.2006,171.4
9.21132,0.0
9.22203,171.16
9.23275,0.0
9.24346,171.32
9.25418,0.0
9.26489,171.42
9.27561,0.0
9.28633,171.26
9.29704,0.0
9.30776,171.0
9.31847,0.0
9.32919,171.32
9.33991,0.0
9.35062,171.67
9.36134,0.0
9.37205,171.61
9.38277,0.0
9.39348,171.56
9.4042,0.0
9.41492,171.46
9.42563,0.0
9.43635,171.6
9.44706,0.0
9.45778,171.65
9.4685,0.0
9.47921,171.55
9.48993,0.0
9.50064,171.36
9.51136,0.0
9.52207,171.54
9.53279,0.0
9.54351,171.6
9.55422,0.0
9.56494,171.59
9.57565,0.0
9.58637,171.52
9.59709,0.0
9.6078,171.28
9.61852,0.0
9.62923,171.16
9.63995,0.0
9.65066,171.44
9.66138,0.0
9.6721,171.42
9.68281,0.0
9.69353,171.5
9.70424,0.0
9.71496,171.36
9.72568,0.0
9.73639,171.02
9.74711,0.0
9.75782,171.14
9.76854,0.0
9.77925,171.53
9.78997,0.0
9.80069,171.6
9.8114,0.0
9.82212,171.22
9.83283,0.0
9.84355,171.02
9.85426,0.0
9.86498,171.16
9.8757,0.0
9.88641,171.48
9.89713,0.0
9.90784,171.56
9.91856,0.0
9.92928,171.5
9.93999,0.0
9.95071,171.42
9.96142,0.0
9.97214,171.52
9.98285,0.0
9.99357,171.5
10.00429,0.0
10.015,171.42
10.02572,0.0
10.03643,171.24
10.04715,0.0
10.05787,171.36
10.06858,0.0
10.0793,171.44
10.09001,0.0
10.10073,171.56
10.11144,0.0
10.12216,171.34
10.13288,0.0
10.14359,171.28
10.15431,0.0
10.16502,171.56
10.17574,0.0
10.18646,171.54
10.19717,0.0
10.20789,171.63
10.2186,0.0
10.22932,171.55
10.24003,0.0
10.25075,171.53
10.26147,0.0
10.27218,171.36
10.2829,0.0
10.29361,171.28
10.30433,0.0
10.31505,171.4
10.32576,0.0
10.33648,171.48
10.34719,0.0
10.35791,171.53
10.36862,0.0
10.37934,171.63
10.39006,0.0
10.40077,171.5
10.41149,0.0
10.4222,171.55
10.43292,0.0
10.44363,171.56
10.45435,0.0
10.46507,171.42
10.47578,0.0
10.4865,171.56
10.49721,0.0
10.50793,171.42
10.51865,0.0
10.52936,171.54
10.54008,0.0
10.55079,171.58
10.56151,0.0
10.57222,170.98
10.58294,0.0
10.59366,171.24
10.60437,0.0
10.61509,171.4
10.6258,0.0
10.63652,171.32
10.64724,0.0
10.65795,171.55
10.66867,0.0
10.67938,171.42
10.6901,0.0
10.70081,171.38
10.71153,0.0
10.72225,171.18
10.73296,0.0
10.74368,171.46
10.75439,0.0
10.76511,171.48
10.77583,0.0
10.78654,171.52
10.79726,0.0
10.80797,171.54
10.81869,0.0
10.8294,171.52
10.84012,0.0
10.85084,171.38
10.86155,0.0
10.87227,171.56
10.88298,0.0
10.8937,171.57
10.90441,0.0
10.91513,171.32
10.92585,0.0
10.93656,171.38
10.94728,0.0
10.95799,171.28
10.96871,0.0
10.97943,171.4
10.99014,0.0
11.00086,171.64
11.01157,0.0
11.02229,171.46
11.033,0.0
11.04372,171.48
11.05444,0.0
11.06515,171.38
11.07587,0.0
11.08658,171.62
11.0973,0.0
11.10802,171.74
11.11873,0.0
11.12945,171.57
11.14016,0.0
11.15088,171.55
11.16159,0.0
11.17231,171.55
11.18303,0.0
11.19374,171.42
11.20446,0.0
11.21517,171.46
11.22589,0.0
11.23661,171.46
11.24732,0.0
11.25804,171.28
11.26875,0.0
11.27947,171.38
11.29018,0.0
11.3009,171.5
11.31162,0.0
11.32233,171.32
11.33305,0.0
11.34376,171.2
11.35448,0.0
11.3652,171.53
11.37591,0.0
11.38663,171.46
11.39734,0.0
11.40806,171.54
11.41877,0.0
11.42949,171.53
11.44021,0.0
11.45092,171.46
11.46164,0.0
11.47235,171.55
11.48307,0.0
11.49378,171.46
11.5045,0.0
11.51522,171.34
11.52593,0.0
11.53665,171.55
11.54736,0.0
11.55808,171.55
11.5688,0.0
11.57951,171.2
11.59023,0.0
11.60094,171.53
11.61166,0.0
11.62237,171.46
11.63309,0.0
11.64381,171.4
11.65452,0.0
11.66524,171.12
11.67595,0.0
11.68667,171.28
11.69739,0.0
11.7081,171.42
11.71882,0.0
11.72953,171.26
11.74025,0.0
11.75096,171.3
11.76168,0.0
11.7724,171.28
11.78311,0.0
11.79383,171.44
11.80454,0.0
11.81526,171.48
11.82598,0.0
11.83669,171.22
11.84741,0.0
11.85812,171.52
11.86884,0.0
11.87955,171.69
11.89027,0.0
11.90099,171.56
11.9117,0.0
11.92242,171.5
11.93313,0.0
11.94385,171.46
11.95456,0.0
11.96528,171.52
11.976,0.0
11.98671,171.46
11.99743,0.0
12.00814,171.32
12.01886,0.0
12.02958,171.56
12.04029,0.0
12.05101,171.22
12.06172,0.0
12.07244,171.16
12.08315,0.0
12.09387,171.36
12.10459,0.0
12.1153,171.48
12.12602,0.0
12.13673,171.52
12.14745,0.0
12.15817,171.54
12.16888,0.0
12.1796,171.28
12.19031,0.0
12.20103,171.44
12.21174,0.0
12.22246,171.26
12.23318,0.0
12.24389,171.12
12.25461,0.0
12.26532,171.28
12.27604,0.0
12.28676,171.18
12.29747,0.0
12.30819,171.2
12.3189,0.0
12.32962,171.32
12.34033,0.0
12.35105,171.44
12.36177,0.0
12.37248,171.46
12.3832,0.0
12.39391,171.42
12.40463,0.0
12.41535,171.26
12.42606,0.0
12.43678,171.4
12.44749,0.0
12.45821,171.3
12.46892,0.0
12.47964,171.32
12.49036,0.0
12.50107,171.44
12.51179,0.0
12.5225,171.04
12.53322,0.0
12.54393,171.38
12.55465,0.0
12.56537,171.42
12.57608,0.0
12.5868,171.52
12.59751,0.0
12.60823,171.46
12.61895,0.0
12.62966,171.34
12.64038,0.0
12.65109,171.4
12.66181,0.0
