2Theta_deg,Intensity_cps
8.84643,0.0
8.85714,171.38
8.86786,0.0
8.87857,171.42
8.88929,0.0
8.9,171.53
8.91072,0.0
8.92143,171.58
8.93214,0.0
8.94286,171.44
8.95357,0.0
8.96429,171.22
8.975,0.0
8.98572,171.32
8.99643,0.0
9.00714,171.46
9.01786,0.0
9.02857,171.54
9.03929,0.0
9.05,171.62
9.06072,0.0
9.07143,171.59
9.08214,0.0
9.09286,171.44
9.10357,0.0
9.11429,171.52
9.125,0.0
9.13572,171.57
9.14643,0.0
9.15714,171.34
9.16786,0.0
9.17857,171.42
9.18929,0.0
9.2,171.4
9.21072,0.0
9.22143,171.16
9.23214,0.0
9.24286,171.32
9.25357,0.0
9.26429,171.42
9.275,0.0
9.28572,171.26
9.29643,0.0
9.30714,171.0
9.31786,0.0
9.32857,171.32
9.33929,0.0
9.35,171.67
9.36072,0.0
9.37143,171.61
9.38214,0.0
9.39286,171.56
9.40357,0.0
9.41429,171.46
9.425,0.0
9.43572,171.6
9.44643,0.0
9.45714,171.65
9.46786,0.0
9.47857,171.55
9.48929,0.0
9.5,171.36
9.51072,0.0
9.52143,171.54
9.53214,0.0
9.54286,171.6
9.55357,0.0
9.56429,171.59
9.575,0.0
9.58572,171.52
9.59643,0.0
9.60714,171.28
9.61786,0.0
9.62857,171.16
9.63929,0.0
9.65,171.44
9.66072,0.0
9.67143,171.42
9.68214,0.0
9.69286,171.5
9.70357,0.0
9.71429,171.36
9.725,0.0
9.73572,171.02
9.74643,0.0
9.75714,171.14
9.76786,0.0
9.77857,171.53
9.78929,0.0
9.8,171.6
9.81072,0.0
9.82143,171.22
9.83214,0.0
9.84286,171.02
9.85357,0.0
9.86429,171.16
9.875,0.0
9.88572,171.48
9.89643,0.0
9.90714,171.56
9.91786,0.0
9.92857,171.5
9.93929,0.0
9.95,171.42
9.96072,0.0
9.97143,171.52
9.98214,0.0
9.99286,171.5
10.00357,0.0
10.01429,171.42
10.025,0.0
10.03572,171.24
10.04643,0.0
10.05714,171.36
10.06786,0.0
10.07857,171.44
10.08929,0.0
10.1,171.56
10.11072,0.0
10.12143,171.34
10.13214,0.0
10.14286,171.28
10.15357,0.0
10.16429,171.56
10.175,0.0
10.18572,171.54
10.19643,0.0
10.20714,171.63
