2Theta_deg,Intensity_cps
8.7934,171.52
8.80411,171.46
8.81483,171.34
8.82555,171.4
8.83626,171.44
8.84698,171.44
8.85769,171.48
8.86841,171.54
8.87913,171.58
8.88984,171.53
8.90056,171.28
8.91127,171.02
8.92199,171.26
8.9327,171.58
8.94342,171.58
8.95414,171.5
8.96485,171.16
8.97557,171.1
8.98628,171.12
8.997,171.04
9.00772,171.26
9.01843,171.36
9.02915,171.57
9.03986,171.5
9.05058,171.5
9.06129,171.48
9.07201,171.54
9.08273,171.57
9.09344,171.38
9.10416,171.3
9.11487,171.53
9.12559,171.57
9.13631,171.52
9.14702,171.32
9.15774,171.4
9.16845,171.44
9.17917,171.4
9.18988,171.42
9.2006,171.32
9.21132,170.98
9.22203,171.53
9.23275,171.3
9.24346,171.24
9.25418,171.28
9.26489,171.28
9.27561,171.34
9.28633,171.34
9.29704,171.24
9.30776,171.38
9.31847,171.48
9.32919,171.59
9.33991,171.6
9.35062,171.55
9.36134,171.46
9.37205,171.16
9.38277,170.88
9.39348,171.18
9.4042,171.22
9.41492,171.2
9.42563,171.38
9.43635,171.4
9.44706,171.48
9.45778,171.26
9.4685,171.4
9.47921,171.48
9.48993,171.46
9.50064,171.5
9.51136,171.28
9.52207,171.38
9.53279,171.28
9.54351,171.36
9.55422,171.52
9.56494,171.38
9.57565,171.1
9.58637,171.24
9.59709,171.2
9.6078,171.3
9.61852,171.28
9.62923,171.32
9.63995,171.24
9.65066,171.22
9.66138,171.54
9.6721,171.52
9.68281,171.36
9.69353,171.28
9.70424,171.38
9.71496,171.16
9.72568,171.42
9.73639,171.58
9.74711,171.52
9.75782,171.42
9.76854,171.3
9.77925,171.36
9.78997,171.38
9.80069,171.4
9.8114,171.48
9.82212,171.38
9.83283,171.12
9.84355,171.53
9.85426,171.34
9.86498,171.46
9.8757,171.73
9.88641,171.57
9.89713,171.56
9.90784,171.56
9.91856,171.7
9.92928,171.69
9.93999,171.8
9.95071,171.62
9.96142,171.76
9.97214,171.7
9.98285,171.68
9.99357,171.71
10.00429,171.83
10.015,172.06
10.02572,171.94
10.03643,171.83
10.04715,171.96
10.05787,171.86
10.06858,171.92
10.0793,172.1
10.09001,171.99
10.10073,172.1
10.11144,171.92
10.12216,171.89
10.13288,171.95
10.14359,172.06
10.15431,172.0
10.16502,171.9
10.17574,171.79
10.18646,171.66
10.19717,171.64
10.20789,171.78
10.2186,171.74
10.22932,171.64
10.24003,171.52
10.25075,171.53
10.26147,171.54
10.27218,171.48
10.2829,171.36
10.29361,171.55
10.30433,171.53
10.31505,171.32
10.32576,171.56
10.33648,171.32
10.34719,171.06
10.35791,171.44
10.36862,171.28
10.37934,171.28
10.39006,171.48
10.40077,171.4
10.41149,171.16
10.4222,171.16
10.43292,171.4
10.44363,171.52
10.45435,171.53
10.46507,171.5
10.47578,171.5
10.4865,171.3
10.49721,171.38
10.50793,171.22
10.51865,171.2
10.52936,171.48
10.54008,171.2
10.55079,170.96
10.56151,171.08
10.57222,171.12
10.58294,171.14
10.59366,171.42
10.60437,171.4
10.61509,171.14
10.6258,171.2
10.63652,171.4
10.64724,171.53
10.65795,171.24
